continent_name,year,average_gdp_per_capita
Africa,2004,1743.261651357015
Africa,2005,1988.8050062391494
Africa,2006,2201.2744482534904
Africa,2007,2510.8761446917497
Africa,2008,2867.181559527362
Africa,2009,2431.338941220884
Africa,2010,2756.936971028646
Africa,2011,3120.725979840314
Africa,2012,3097.7717409487122
Asia,2004,7991.815113612583
Asia,2005,9035.41787844288
Asia,2006,10372.0525244888
Asia,2007,11486.89039020149
Asia,2008,13381.694096779336
Asia,2009,11517.265430061185
Asia,2010,12995.435696348852
Asia,2011,15106.266318807797
Asia,2012,15749.104338976802
Europe,2004,24075.6807717716
Europe,2005,25627.62972603592
Europe,2006,27744.241370107615
Europe,2007,32625.37251551011
Europe,2008,34865.87789857154
Europe,2009,29156.516927083332
Europe,2010,26299.552705652575
Europe,2011,28925.326255648743
Europe,2012,24758.554053213084
"North America",2004,12576.254133436414
"North America",2005,13573.937879774305
"North America",2006,14645.167299623843
"North America",2007,15947.820341887298
"North America",2008,16388.98526340061
"North America",2009,15034.21817581742
"North America",2010,15109.782262731482
"North America",2011,15551.607679578992
"North America",2012,15883.129559552228
Oceania,2004,6502.652911846454
Oceania,2005,7113.575129582332
Oceania,2006,7281.14341383714
Oceania,2007,8246.183002178486
Oceania,2008,8980.151282677283
Oceania,2009,7981.892324594351
Oceania,2010,9304.48583984375
Oceania,2011,10744.310190054086
Oceania,2012,11482.50390625
"South America",2004,3051.490224202474
"South America",2005,3683.691853841146
"South America",2006,4475.366221110026
"South America",2007,5267.486490885417
"South America",2008,6333.3026123046875
"South America",2009,6235.7876383463545
"South America",2010,7514.2819417317705
"South America",2011,8213.244873046875
"South America",2012,8759.512329101562
